amount,rawSize,size,12755
1230000,6006,47.61654253,
1560000,6049,47.950294,
1043864,6039,47.87267738,
910000,1744,14.53633869,
915000,1744,14.53633869,
1650000,6006,47.61654253,
1230000,4187,33.49807918,
1290000,6878,54.38471188,
1020000,3606,28.98855351,
1075000,3606,28.98855351,
1250000,6017,47.70192082,
950000,3606,28.98855351,
1285000,6017,47.70192082,
1239888,10247,80.53375147,
1220000,6426,50.87644061,
1300000,12195,95.65346923,
988000,3692,29.65605645,
1300000,8439,66.50066641,
1030000,3746,30.0751862,
930000,4155,33.249706,
1075000,6017,47.70192082,
785000,3617,29.07393179,
1280000,5920,46.94903959,
1050000,3660,29.40768326,
2780000,10226,80.37075657,
825000,5511,43.7745198,
894000,5511,43.7745198,
951000,6297,49.8751862,
980000,5791,45.94778518,
1163000,5511,43.7745198,
1165000,3681,29.57067817,
970000,5920,46.94903959,
1630000,5920,46.94903959,
1550000,5199,41.35288122,
1111000,4779,38.09298314,
810000,3606,28.98855351,
1293000,2551,20.8,
1100000,5673,45.03190906,
1123800,5856,46.45229322,
1383000,5856,46.45229322,
2230000,9322,73.35421403,
2275000,9322,73.35421403,
960000,3595,28.90317523,
859000,1927,15.95672285,
1200000,3681,29.57067817,
1068000,3541,28.48404547,
900000,4176,33.4127009,
1150000,3627,29.15154841,
950000,2239,18.37836143,
1220000,2551,20.8,
1753000,5038,40.10325363,
1000000,6006,47.61654253,
1156500,7890,62.23951392,
1005000,3595,28.90317523,
1029000,3929,31.49557036,
845000,3046,24.64202274,
1065000,8643,68.08404547,
1135000,8643,68.08404547,
1335000,6189,49.0369267,
1375000,6695,52.96432771,
1678000,5038,40.10325363,
1100000,9698,76.27259898,
950000,2551,20.8,
1065000,1625,13.6127009,
1547500,6103,48.36942376,
1000000,3498,28.150294,
963800,3606,28.98855351,
1061000,4510,36.00509604,
788000,4510,36.00509604,
1435000,6125,48.54018032,
860000,3434,27.65354763,
820000,1496,12.61144649,
1305000,2648,21.55288122,
1350000,6006,47.61654253,
1020000,5543,44.02289298,
850000,3305,26.65229322,
800000,3305,26.65229322,
800000,3305,26.65229322,
950000,3305,26.65229322,
908000,4209,33.66883575,
1091000,1927,15.95672285,
1142800,5813,46.11854175,
119900,2742,22.27937279,
1300000,6254,49.54143473,
1250000,4316,34.49933359,
855000,3595,28.90317523,
465000,3918,31.41019208,
1050000,6028,47.7872991,
1380000,2648,21.55288122,
1195000,12013,94.24084673,
1150000,9709,76.35797726,
1750000,9655,75.93884751,
1390000,5414,43.02163857,
1030000,4230,33.83183065,
1115550,8051,63.48914151,
990000,3337,26.90066641,
975000,5974,47.36816935,
1331000,2648,21.55288122,
1825000,7363,58.14911799,
896000,3509,28.23567229,
1115000,6146,48.70317523,
1010000,1281,10.94268914,
1400000,6943,54.88921991,
1130000,6631,52.46758134,
1382000,6017,47.70192082,
828000,3272,26.39615837,
980000,3757,30.16056448,
1050000,1668,13.94645237,
960000,1927,15.95672285,
835000,3681,29.57067817,
970000,6534,51.71470012,
992000,3606,28.98855351,
1108000,3272,26.39615837,
945000,3627,29.15154841,
1270000,6394,50.62806742,
837000,1927,15.95672285,
1595000,7513,59.31336731,
996800,3617,29.07393179,
1300000,5866,46.52990984,
610000,3606,28.98855351,
1176000,6372,50.45731086,
960000,3509,28.23567229,
1100000,3757,30.16056448,
1105000,4015,32.1630733,
1440000,5845,46.36691494,
1281566,5543,44.02289298,
1450000,5533,43.94527636,
850000,3983,31.91470012,
908000,3627,29.15154841,
1380000,6609,52.29682477,
910000,3875,31.07644061,
925000,3617,29.07393179,
1105000,3617,29.07393179,
911000,3617,29.07393179,
1050000,5630,44.69815759,
2000000,6308,49.96056448,
1365000,5780,45.8624069,
1250000,6770,53.54645237,
1260000,5511,43.7745198,
690000,12755,100,
1440000,12755,100,
1045000,3617,29.07393179,
1200000,3757,30.16056448,
885000,3584,28.81779694,
1302000,5759,45.699412,
1090000,4327,34.58471188,
1288000,7707,60.81912975,
1350000,7728,60.98212466,
1045000,6006,47.61654253,
1023000,4359,34.83308506,
1310000,6092,48.28404547,
1020000,2616,21.30450804,
1100000,6049,47.950294,
1160000,3649,29.32230498,
850000,3660,29.40768326,
922000,4392,35.08921991,
843000,3757,30.16056448,
1050000,3897,31.24719718,
999999,1389,11.78094865,
831000,4499,35.91971776,
800000,4047,32.41144649,
1183000,3606,28.98855351,
888000,4445,35.500588,
1130000,6243,49.45605645,
965000,5651,44.86115249,
895000,3918,31.41019208,
1255500,5511,43.7745198,
1180000,6071,48.12105057,
1680000,6125,48.54018032,
1110000,3767,30.23818111,
1075000,4209,33.66883575,
928000,3757,30.16056448,
400000,3875,31.07644061,
1625000,5199,41.35288122,
1110000,5780,45.8624069,
1330000,6006,47.61654253,
1020000,3391,27.31979616,
750000,1281,10.94268914,
1250000,5511,43.7745198,
1230000,6006,47.61654253,
625000,8902,70.09431595,
2635000,8826,69.50442964,
1163000,6017,47.70192082,
790000,3595,28.90317523,
1260000,6060,48.03567229,
1050000,1636,13.69807918,
1210000,3746,30.0751862,
1370000,9505,74.7745982,
1000000,3606,28.98855351,
850000,5597,44.44202274,
1030000,9763,76.77710702,
1835000,6738,53.29807918,
1462500,6006,47.61654253,
117000,3606,28.98855351,
1060000,4478,35.75672285,
1455000,11636,91.31470012,
1120000,4058,32.49682477,
985000,3714,29.82681301,
971800,3735,29.98980792,
1750000,5038,40.10325363,
